date_id,full_date,day_of_week,month,year,quarter
1,2024-06-09,Sunday,June,2024,Q2
2,2023-11-27,Monday,November,2023,Q4
3,2023-11-25,Saturday,November,2023,Q4
4,2025-02-14,Friday,February,2025,Q1
5,2025-03-25,Tuesday,March,2025,Q1
6,2023-08-17,Thursday,August,2023,Q3
7,2025-05-11,Sunday,May,2025,Q2
8,2023-10-02,Monday,October,2023,Q4
9,2025-08-04,Monday,August,2025,Q3
10,2023-11-23,Thursday,November,2023,Q4
11,2025-06-21,Saturday,June,2025,Q2
12,2024-03-13,Wednesday,March,2024,Q1
13,2025-05-14,Wednesday,May,2025,Q2
14,2025-04-25,Friday,April,2025,Q2
15,2024-09-18,Wednesday,September,2024,Q3
16,2024-03-21,Thursday,March,2024,Q1
17,2024-11-28,Thursday,November,2024,Q4
18,2024-11-20,Wednesday,November,2024,Q4
19,2024-11-26,Tuesday,November,2024,Q4
20,2025-06-22,Sunday,June,2025,Q2
21,2023-11-28,Tuesday,November,2023,Q4
22,2024-02-26,Monday,February,2024,Q1
23,2025-03-01,Saturday,March,2025,Q1
24,2024-09-12,Thursday,September,2024,Q3
25,2023-11-18,Saturday,November,2023,Q4
26,2024-12-01,Sunday,December,2024,Q4
27,2025-05-22,Thursday,May,2025,Q2
28,2024-07-13,Saturday,July,2024,Q3
29,2023-09-29,Friday,September,2023,Q3
30,2024-02-04,Sunday,February,2024,Q1
31,2024-03-11,Monday,March,2024,Q1
32,2023-09-05,Tuesday,September,2023,Q3
33,2024-08-23,Friday,August,2024,Q3
34,2025-02-23,Sunday,February,2025,Q1
35,2024-02-29,Thursday,February,2024,Q1
36,2023-12-16,Saturday,December,2023,Q4
37,2024-05-30,Thursday,May,2024,Q2
38,2024-01-30,Tuesday,January,2024,Q1
39,2024-02-14,Wednesday,February,2024,Q1
40,2024-07-25,Thursday,July,2024,Q3
41,2025-01-21,Tuesday,January,2025,Q1
42,2024-11-10,Sunday,November,2024,Q4
43,2024-01-22,Monday,January,2024,Q1
44,2025-01-15,Wednesday,January,2025,Q1
45,2024-02-27,Tuesday,February,2024,Q1
46,2024-07-10,Wednesday,July,2024,Q3
47,2024-09-25,Wednesday,September,2024,Q3
48,2024-12-14,Saturday,December,2024,Q4
49,2023-08-21,Monday,August,2023,Q3
50,2025-03-10,Monday,March,2025,Q1
51,2023-08-14,Monday,August,2023,Q3
52,2025-03-09,Sunday,March,2025,Q1
53,2023-11-30,Thursday,November,2023,Q4
54,2023-11-25,Saturday,November,2023,Q4
55,2024-01-21,Sunday,January,2024,Q1
56,2025-06-14,Saturday,June,2025,Q2
57,2023-09-16,Saturday,September,2023,Q3
58,2025-06-13,Friday,June,2025,Q2
59,2024-01-23,Tuesday,January,2024,Q1
60,2024-07-23,Tuesday,July,2024,Q3
61,2023-09-20,Wednesday,September,2023,Q3
62,2023-11-02,Thursday,November,2023,Q4
63,2023-11-22,Wednesday,November,2023,Q4
64,2024-01-31,Wednesday,January,2024,Q1
65,2025-03-09,Sunday,March,2025,Q1
66,2024-11-25,Monday,November,2024,Q4
67,2024-12-30,Monday,December,2024,Q4
68,2024-03-15,Friday,March,2024,Q1
69,2025-07-01,Tuesday,July,2025,Q3
70,2024-07-01,Monday,July,2024,Q3
71,2025-07-08,Tuesday,July,2025,Q3
72,2024-01-26,Friday,January,2024,Q1
73,2024-10-30,Wednesday,October,2024,Q4
74,2023-10-20,Friday,October,2023,Q4
75,2025-04-03,Thursday,April,2025,Q2
76,2024-07-07,Sunday,July,2024,Q3
77,2024-04-17,Wednesday,April,2024,Q2
78,2025-07-28,Monday,July,2025,Q3
79,2025-02-01,Saturday,February,2025,Q1
80,2024-10-28,Monday,October,2024,Q4
81,2023-11-11,Saturday,November,2023,Q4
82,2024-08-10,Saturday,August,2024,Q3
83,2024-07-05,Friday,July,2024,Q3
84,2024-07-04,Thursday,July,2024,Q3
85,2023-08-14,Monday,August,2023,Q3
86,2023-08-09,Wednesday,August,2023,Q3
87,2025-05-25,Sunday,May,2025,Q2
88,2024-09-05,Thursday,September,2024,Q3
89,2024-04-22,Monday,April,2024,Q2
90,2023-10-05,Thursday,October,2023,Q4
91,2025-07-31,Thursday,July,2025,Q3
92,2025-04-25,Friday,April,2025,Q2
93,2024-12-22,Sunday,December,2024,Q4
94,2024-10-19,Saturday,October,2024,Q4
95,2024-04-06,Saturday,April,2024,Q2
96,2025-02-21,Friday,February,2025,Q1
97,2023-12-27,Wednesday,December,2023,Q4
98,2023-12-10,Sunday,December,2023,Q4
99,2024-07-23,Tuesday,July,2024,Q3
100,2025-01-01,Wednesday,January,2025,Q1
